@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute freq numeric
@attribute amp numeric
@attribute index numeric
@attribute fx numeric
@attribute release numeric
@attribute phase numeric

@data
54,'2023/11/30 15:43:20:230',3,0,0,0,1,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
55,'2023/11/30 15:43:20:556',3,0,0,0,1,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
56,'2023/11/30 15:43:20:774',3,0,0,0,1,0,0,0,0,0,0,618,60,1.094303,0,0,0,0
57,'2023/11/30 15:43:21:068',3,0,0,0,1,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
58,'2023/11/30 15:43:21:272',3,0,0,0,1,0,0,0,0,0,0,618,60,1.094303,0,0,0,0
59,'2023/11/30 15:43:21:579',3,0,0,0,1,0,0,0,0,0,0,618,60,1.094303,0,0,0,0
60,'2023/11/30 15:43:21:784',3,0,0,0,1,0,0,0,0,0,0,618,60,1.094303,0,0,0,0
61,'2023/11/30 15:43:22:092',3,0,0,0,1,0,0,0,0,0,0,618,60,1.094303,0,0,0,0
62,'2023/11/30 15:43:22:297',3,0,0,0,1,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
63,'2023/11/30 15:43:22:503',3,0,0,0,1,0,0,0,0,0,0,618,60,1.094303,0,0,0,0
64,'2023/11/30 15:43:22:810',3,0,0,0,1,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
65,'2023/11/30 15:43:23:013',3,0,0,0,1,0,0,0,0,0,0,617,60,1.094303,0,0,0,0
66,'2023/11/30 15:43:23:320',3,0,0,0,0,0,0,0,0,0,0,618,60,1.094303,0,0,0,0
67,'2023/11/30 15:43:23:525',3,0,0,0,0,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
68,'2023/11/30 15:43:23:832',3,0,0,0,0,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
69,'2023/11/30 15:43:24:036',3,0,0,0,1,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
70,'2023/11/30 15:43:24:345',3,0,0,0,1,0,0,0,0,0,0,618,60,1.094303,0,0,0,0
71,'2023/11/30 15:43:24:549',3,0,0,0,1,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
72,'2023/11/30 15:43:24:754',3,0,0,0,1,0,0,0,0,0,0,618,60,1.094303,0,0,0,0
73,'2023/11/30 15:43:24:990',3,0,0,0,1,0,0,0,0,0,0,617,60,1.094303,0,0,0,0
74,'2023/11/30 15:43:25:266',3,0,0,0,1,0,0,0,0,0,0,618,60,1.094303,0,0,0,0
75,'2023/11/30 15:43:25:573',3,0,0,0,0,0,0,0,0,0,0,618,60,1.094303,0,0,0,0
76,'2023/11/30 15:43:25:778',3,0,0,0,1,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
77,'2023/11/30 15:43:26:086',3,0,0,0,1,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
78,'2023/11/30 15:43:26:295',3,0,0,0,1,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
79,'2023/11/30 15:43:26:604',3,0,0,0,1,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
80,'2023/11/30 15:43:26:802',3,0,0,0,0,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
81,'2023/11/30 15:43:27:006',3,0,0,0,1,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
82,'2023/11/30 15:43:27:314',3,0,0,0,1,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
83,'2023/11/30 15:43:27:519',3,0,0,0,1,0,0,0,0,0,0,619,60,1.094303,0,0,0,0
84,'2023/11/30 15:44:10:938',4,0,0,0,1,0,0,0,0,0,0,732,90,1.097316,0,0,0,0
85,'2023/11/30 15:44:11:143',4,0,0,0,1,0,0,0,0,0,0,732,90,1.097316,0,0,0,0
86,'2023/11/30 15:44:11:451',4,0,0,0,0,0,0,0,0,0,0,732,90,1.097316,0,0,0,0
87,'2023/11/30 15:44:11:611',4,0,0,0,1,0,0,0,0,0,0,731,90,1.097316,0,0,0,0
88,'2023/11/30 15:44:11:962',4,0,0,0,1,0,0,0,0,0,0,732,90,1.097316,0,0,0,0
89,'2023/11/30 15:44:12:167',4,0,0,0,0,0,0,0,0,0,0,732,90,1.097316,0,0,0,0
90,'2023/11/30 15:44:12:371',4,0,0,0,0,0,0,0,0,0,0,733,90,1.097316,0,0,0,0
91,'2023/11/30 15:44:12:614',4,0,0,0,0,0,0,0,0,0,0,732,90,1.097316,0,0,0,0
92,'2023/11/30 15:44:12:884',4,0,0,0,1,0,0,0,0,0,0,733,90,1.097316,0,0,0,0
93,'2023/11/30 15:44:13:497',4,0,0,0,1,0,0,0,0,0,0,732,90,1.097316,0,0,0,0
94,'2023/11/30 15:44:13:497',4,0,0,0,1,0,0,0,0,0,0,732,90,1.097316,0,0,0,0
95,'2023/11/30 15:44:13:615',4,0,0,0,1,0,0,0,0,0,0,731,90,1.097316,0,0,0,0
96,'2023/11/30 15:44:13:879',4,0,0,0,1,0,0,0,0,0,0,732,90,1.097316,0,0,0,0
97,'2023/11/30 15:44:14:215',4,0,0,0,1,0,0,0,0,0,0,732,90,1.097316,0,0,0,0
98,'2023/11/30 15:44:14:421',4,0,0,0,1,0,0,0,0,0,0,732,90,1.097316,0,0,0,0
99,'2023/11/30 15:44:14:727',4,0,0,0,1,0,0,0,0,0,0,733,90,1.097316,0,0,0,0
100,'2023/11/30 15:44:14:872',4,0,0,0,1,0,0,0,0,0,0,731,90,1.097316,0,0,0,0
101,'2023/11/30 15:44:45:039',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
102,'2023/11/30 15:44:45:243',5,0,0,0,0,0,1,0,1,1,1,826,89,1.121343,2,0,0,0
103,'2023/11/30 15:44:45:550',5,0,0,0,0,0,1,0,1,1,1,826,89,1.121343,2,0,0,0
104,'2023/11/30 15:44:45:755',5,0,0,0,0,0,1,0,1,1,1,826,89,1.121343,2,0,0,0
105,'2023/11/30 15:44:45:961',5,0,0,0,0,0,1,0,1,1,1,826,89,1.121343,2,0,0,0
106,'2023/11/30 15:44:46:210',5,0,0,0,0,0,1,0,1,1,1,828,89,1.121343,2,0,0,0
107,'2023/11/30 15:44:46:471',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
108,'2023/11/30 15:44:46:895',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
109,'2023/11/30 15:44:46:951',5,0,0,0,0,0,1,0,1,1,1,826,89,1.121343,2,0,0,0
110,'2023/11/30 15:44:47:291',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
111,'2023/11/30 15:44:47:497',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
112,'2023/11/30 15:44:47:804',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
113,'2023/11/30 15:44:48:008',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
114,'2023/11/30 15:44:48:203',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
115,'2023/11/30 15:44:48:520',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
116,'2023/11/30 15:44:48:725',5,0,0,0,0,0,1,0,1,1,1,826,89,1.121343,2,0,0,0
117,'2023/11/30 15:44:49:234',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
118,'2023/11/30 15:44:49:235',5,0,0,0,0,0,1,0,1,1,1,826,89,1.121343,2,0,0,0
119,'2023/11/30 15:44:49:544',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
120,'2023/11/30 15:44:49:754',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
121,'2023/11/30 15:44:50:059',5,0,0,0,0,0,1,0,1,1,1,826,89,1.121343,2,0,0,0
122,'2023/11/30 15:44:50:261',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
123,'2023/11/30 15:44:50:465',5,0,0,0,0,0,1,0,1,1,1,826,89,1.121343,2,0,0,0
124,'2023/11/30 15:44:50:774',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
125,'2023/11/30 15:44:50:978',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
126,'2023/11/30 15:44:51:286',5,0,0,0,0,0,1,0,1,1,1,826,89,1.121343,2,0,0,0
127,'2023/11/30 15:44:51:491',5,0,0,0,0,0,1,0,1,1,1,826,89,1.121343,2,0,0,0
128,'2023/11/30 15:44:51:797',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
129,'2023/11/30 15:44:52:008',5,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
130,'2023/11/30 15:44:52:309',5,0,0,0,0,0,0,0,0,0,0,828,89,1.121343,2,0,0,0
131,'2023/11/30 15:45:25:897',6,0,0,0,0,0,1,0,1,1,1,828,89,1.121343,2,0,0,0
132,'2023/11/30 15:45:26:103',6,0,0,0,0,0,1,0,1,1,1,828,89,1.121343,2,0,0,0
133,'2023/11/30 15:45:26:409',6,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
134,'2023/11/30 15:45:26:616',6,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
135,'2023/11/30 15:45:26:819',6,0,0,0,0,0,1,0,1,1,1,826,89,1.121343,2,0,0,0
136,'2023/11/30 15:45:27:128',6,0,0,0,0,0,1,0,1,1,1,825,89,1.121343,2,0,0,0
137,'2023/11/30 15:45:27:330',6,0,0,0,0,0,1,0,1,1,1,828,89,1.121343,2,0,0,0
138,'2023/11/30 15:45:27:640',6,0,0,0,0,0,1,0,1,1,1,827,89,1.121343,2,0,0,0
139,'2023/11/30 15:45:27:844',6,0,0,0,0,0,1,0,1,1,1,828,89,1.121343,2,0,0,0
140,'2023/11/30 15:45:46:173',7,0,0,0,0,0,0,0,1,0,0,829,106,1.121343,2,0,0.3,0.1
141,'2023/11/30 15:45:46:379',7,0,0,0,0,0,0,0,1,0,0,828,106,1.121343,2,0,0.3,0.1
142,'2023/11/30 15:45:46:685',7,0,0,0,0,0,0,0,1,0,0,827,106,1.121343,2,0,0.3,0.1
143,'2023/11/30 15:45:46:889',7,0,0,0,0,0,0,0,1,0,0,828,106,1.121343,2,0,0.3,0.1
144,'2023/11/30 15:45:47:196',7,0,0,0,0,0,0,0,1,0,0,829,106,1.121343,2,0,0.3,0.1
145,'2023/11/30 15:45:47:401',7,0,0,0,0,0,0,0,1,0,0,828,106,1.121343,2,0,0.3,0.1
146,'2023/11/30 15:45:47:709',7,0,0,0,0,0,0,0,1,0,0,829,106,1.121343,2,0,0.3,0.1
147,'2023/11/30 15:45:47:912',7,0,0,0,0,0,0,0,1,0,0,828,106,1.121343,2,0,0.3,0.1
148,'2023/11/30 15:45:48:118',7,0,0,0,0,0,0,0,1,0,0,829,106,1.121343,2,0,0.3,0.1
149,'2023/11/30 15:45:48:426',7,0,0,0,0,0,0,0,1,0,0,873,106,1.121343,2,0,0.3,0.1
150,'2023/11/30 15:45:48:635',7,0,0,0,0,0,0,0,1,0,0,942,106,1.121343,2,0,0.3,0.1
151,'2023/11/30 15:45:48:938',7,0,0,0,0,0,0,0,1,0,0,989,106,1.121343,2,0,0.3,0.1
152,'2023/11/30 15:45:49:143',7,0,0,0,0,0,0,0,1,0,0,1023,106,1.121343,2,0,0.3,0.1
153,'2023/11/30 15:45:49:448',7,0,0,0,0,0,0,0,1,0,0,1023,106,1.121343,2,0,0.3,0.1
154,'2023/11/30 15:45:49:654',7,0,0,0,0,0,0,0,1,0,0,1023,106,1.121343,2,0,0.3,0.1
155,'2023/11/30 15:45:49:961',7,0,0,0,0,0,0,0,1,0,0,1023,106,1.121343,2,0,0.3,0.1
156,'2023/11/30 15:45:50:166',7,0,0,0,0,0,0,0,1,0,0,1023,106,1.121343,2,0,0.3,0.1
157,'2023/11/30 15:45:50:371',7,0,0,0,0,0,0,0,1,0,0,1023,106,1.121343,2,0,0.3,0.1
158,'2023/11/30 15:45:50:679',7,0,0,0,0,0,0,0,1,0,0,978,106,1.121343,2,0,0.3,0.1
159,'2023/11/30 15:45:50:883',7,0,0,0,0,0,0,0,1,0,0,928,106,1.121343,2,0,0.3,0.1
160,'2023/11/30 15:45:51:190',7,0,0,0,0,0,0,0,1,0,0,881,106,1.121343,2,0,0.3,0.1
161,'2023/11/30 15:45:51:395',7,0,0,0,0,0,0,0,1,0,0,837,106,1.121343,2,0,0.3,0.1
162,'2023/11/30 15:45:51:703',7,0,0,0,0,0,0,0,1,0,0,836,106,1.121343,2,0,0.3,0.1
163,'2023/11/30 15:45:51:908',7,0,0,0,0,0,0,0,1,0,0,835,106,1.121343,2,0,0.3,0.1
164,'2023/11/30 15:45:52:215',7,0,0,0,0,0,0,0,1,0,0,837,106,1.121343,2,0,0.3,0.1
165,'2023/11/30 15:45:52:420',7,0,0,0,0,0,0,0,1,0,0,837,106,1.121343,2,0,0.3,0.1
166,'2023/11/30 15:45:52:732',7,0,0,0,0,0,0,0,1,0,0,836,106,1.121343,2,0,0.3,0.1
167,'2023/11/30 15:45:52:936',7,0,0,0,0,0,0,0,1,0,0,837,106,1.121343,2,0,0.3,0.1
